Date,U.S. Crude Oil First Purchase Price (Dollars per Barrel)
Jan-1974,6.95
Feb-1974,6.87
Mar-1974,6.77
Apr-1974,6.77
May-1974,6.87
Jun-1974,6.85
Jul-1974,6.8
Aug-1974,6.71
Sep-1974,6.7
Oct-1974,6.97
Nov-1974,6.97
Dec-1974,7.09
Jan-1975,7.61
Feb-1975,7.47
Mar-1975,7.57
Apr-1975,7.55
May-1975,7.52
Jun-1975,7.49
Jul-1975,7.75
Aug-1975,7.73
Sep-1975,7.75
Oct-1975,7.83
Nov-1975,7.8
Dec-1975,7.93
Jan-1976,8.63
Feb-1976,7.91
Mar-1976,7.78
Apr-1976,7.86
May-1976,7.89
Jun-1976,8
Jul-1976,8.04
Aug-1976,8.03
Sep-1976,8.39
Oct-1976,8.46
Nov-1976,8.61
Dec-1976,8.62
Jan-1977,8.5
Feb-1977,8.56
Mar-1977,8.45
Apr-1977,8.41
May-1977,8.49
Jun-1977,8.44
Jul-1977,8.47
Aug-1977,8.45
Sep-1977,8.43
Oct-1977,8.72
Nov-1977,8.69
Dec-1977,8.81
Jan-1978,8.71
Feb-1978,8.86
Mar-1978,8.8
Apr-1978,8.82
May-1978,8.81
Jun-1978,9.05
Jul-1978,8.96
Aug-1978,9.05
Sep-1978,9.15
Oct-1978,9.17
Nov-1978,9.2
Dec-1978,9.47
Jan-1979,9.46
Feb-1979,9.69
Mar-1979,9.83
Apr-1979,10.33
May-1979,10.71
Jun-1979,11.7
Jul-1979,13.39
Aug-1979,14
Sep-1979,14.57
Oct-1979,15.06
Nov-1979,15.52
Dec-1979,17
Jan-1980,17.86
Feb-1980,18.86
Mar-1980,19.33
Apr-1980,20.28
May-1980,21.05
Jun-1980,21.52
Jul-1980,22.31
Aug-1980,22.62
Sep-1980,22.59
Oct-1980,23.23
Nov-1980,23.99
Dec-1980,25.83
Jan-1981,28.81
Feb-1981,34.3
Mar-1981,34.59
Apr-1981,33.92
May-1981,32.73
Jun-1981,31.68
Jul-1981,31.1
Aug-1981,31.1
Sep-1981,31.1
Oct-1981,30.98
Nov-1981,30.97
Dec-1981,30.8
Jan-1982,30.8
Feb-1982,29.73
Mar-1982,28.31
Apr-1982,27.64
May-1982,27.66
Jun-1982,28.12
Jul-1982,28.09
Aug-1982,27.99
Sep-1982,27.99
Oct-1982,28.76
Nov-1982,28.74
Dec-1982,28.02
Jan-1983,27.22
Feb-1983,26.41
Mar-1983,26.08
Apr-1983,25.85
May-1983,26.08
Jun-1983,25.98
Jul-1983,25.86
Aug-1983,26.03
Sep-1983,26.08
Oct-1983,26.04
